1766957508.343363 client started (1051671): version 3.2a, socket /tmp/tmux-1000/default, protocol 8
1766957508.343420 on Linux 6.8.0-76060800daily20240311-generic #202403110203~1714077665~22.04~4c8e9a0 SMP PREEMPT_DYNAMIC Thu A
1766957508.346259 sending message 105 to peer 0x64a1aaa260f0 (15 bytes)
1766957508.346261 sending message 105 to peer 0x64a1aaa260f0 (8 bytes)
1766957508.346263 sending message 105 to peer 0x64a1aaa260f0 (33 bytes)
1766957508.346265 sending message 105 to peer 0x64a1aaa260f0 (41 bytes)
1766957508.346267 sending message 105 to peer 0x64a1aaa260f0 (61 bytes)
1766957508.346269 sending message 105 to peer 0x64a1aaa260f0 (38 bytes)
1766957508.346271 sending message 105 to peer 0x64a1aaa260f0 (19 bytes)
1766957508.346275 sending message 105 to peer 0x64a1aaa260f0 (22 bytes)
1766957508.346277 sending message 105 to peer 0x64a1aaa260f0 (19 bytes)
1766957508.346279 sending message 105 to peer 0x64a1aaa260f0 (65 bytes)
1766957508.346281 sending message 105 to peer 0x64a1aaa260f0 (18 bytes)
1766957508.346283 sending message 105 to peer 0x64a1aaa260f0 (26 bytes)
1766957508.346285 sending message 105 to peer 0x64a1aaa260f0 (15 bytes)
1766957508.346287 sending message 105 to peer 0x64a1aaa260f0 (38 bytes)
1766957508.346289 sending message 105 to peer 0x64a1aaa260f0 (47 bytes)
1766957508.346291 sending message 105 to peer 0x64a1aaa260f0 (13 bytes)
1766957508.346293 sending message 105 to peer 0x64a1aaa260f0 (61 bytes)
1766957508.346295 sending message 105 to peer 0x64a1aaa260f0 (49 bytes)
1766957508.346297 sending message 105 to peer 0x64a1aaa260f0 (36 bytes)
1766957508.346298 sending message 105 to peer 0x64a1aaa260f0 (12 bytes)
1766957508.346301 sending message 105 to peer 0x64a1aaa260f0 (16 bytes)
1766957508.346302 sending message 105 to peer 0x64a1aaa260f0 (12 bytes)
1766957508.346304 sending message 105 to peer 0x64a1aaa260f0 (57 bytes)
1766957508.346306 sending message 105 to peer 0x64a1aaa260f0 (18 bytes)
1766957508.346308 sending message 105 to peer 0x64a1aaa260f0 (13 bytes)
1766957508.346310 sending message 105 to peer 0x64a1aaa260f0 (41 bytes)
1766957508.346312 sending message 105 to peer 0x64a1aaa260f0 (42 bytes)
1766957508.346327 sending message 105 to peer 0x64a1aaa260f0 (38 bytes)
1766957508.346329 sending message 105 to peer 0x64a1aaa260f0 (30 bytes)
1766957508.346331 sending message 105 to peer 0x64a1aaa260f0 (227 bytes)
1766957508.346333 sending message 105 to peer 0x64a1aaa260f0 (23 bytes)
1766957508.346335 sending message 105 to peer 0x64a1aaa260f0 (31 bytes)
1766957508.346337 sending message 105 to peer 0x64a1aaa260f0 (23 bytes)
1766957508.346338 sending message 105 to peer 0x64a1aaa260f0 (24 bytes)
1766957508.346340 sending message 105 to peer 0x64a1aaa260f0 (21 bytes)
1766957508.346342 sending message 105 to peer 0x64a1aaa260f0 (20 bytes)
1766957508.346344 sending message 105 to peer 0x64a1aaa260f0 (35 bytes)
1766957508.346346 sending message 105 to peer 0x64a1aaa260f0 (16 bytes)
1766957508.346347 sending message 106 to peer 0x64a1aaa260f0 (0 bytes)
1766957508.346351 sending message 200 to peer 0x64a1aaa260f0 (4 bytes)
1766957508.346353 client loop enter
1766957508.346756 peer 0x64a1aaa260f0 message 303
1766957508.346761 open write file 2 -
1766957508.346781 sending message 305 to peer 0x64a1aaa260f0 (8 bytes)
1766957508.346791 write check file 2
1766957508.346929 peer 0x64a1aaa260f0 message 304
1766957508.346933 write 58 to file 2
1766957508.346936 peer 0x64a1aaa260f0 message 203
1766957508.346938 file 2 58 bytes left
1766957508.346947 write check file 2
1766957508.346949 client loop exit
